0		0		4620		4		0											
0		0		2310		4		0														//1
0		0		1155		4		0														//1.1
0		0		577		4		0														//1.1.1
0		0		288		0		2		9	13											//1.1.1.1
288		0		288		0		4		19 	22	23	24									//1.1.1.2
0		288		288		0		8		2	11	4	5	6	7	8	10					//1.1.1.3
288		288		288		0		4		12	14	16	17									//1.1.1.4
577		0		577		4		0														//1.1.2
577		0		288		0		9		18	20	21	25	26	27	28	29	30				//1.1.2.1
865		0		288		0		5		31	32	36	37	38								//1.1.2.2
577		288		288		0		1		15												//1.1.2.3
865		288		288		0		5		35	39	40	41	42								//1.1.2.4
0		577		577		4		0														//1.1.3
0		577		288		0		3		0	1	3										//1.1.3.1
288		577		288		0		0														//1.1.3.2
0		865		288		0		0														//1.1.3.3
288		865		288		0		0														//1.1.3.4
577		577		577		0		0														//1.1.4
1155		0		1155		4		0														//1.2
1155		0		577		4		0														//1.2.1
1155		0		288		0		4		33	34	43	44									//1.2.1.1
1443		0		288		0		1		45												//1.2.1.2
1155		288		288		0		0														//1.2.1.3
1443		288		288		0		5		46	47	48	49	50								//1.2.1.4
1732		0		577		4		0														//1.2.2
1732		0		288		0		0														//1.2.2.1
2020		0		288		0		0														//1.2.2.2
1732		288		288		0		2		55	56											//1.2.2.3
2020		288		288		0		1		57												//1.2.2.4
1155		577		577		4		0														//1.2.3
1155		577		288		0		0														//1.2.3.1
1443		577		288		0		2		51	52											//1.2.3.2
1155		865		288		0		0														//1.2.3.3
1443		865		288		0		0														//1.2.3.4
1732		577		577		4		0														//1.2.4
1732		577		288		0		3		53	54	59										//1.2.4.1
2020		577		288		0		1		58												//1.2.4.2
1732		865		288		0		0														//1.2.4.3
2020		865		288		0		0														//1.2.4.4
0		1155		1155		0		0														//1.3
1155		1155		1155		0		0														//1.4
2310		0		2310		4		0														//2
2310		0		1155		4		0														//2.1
2310		0		577		4		0														//2.1.1
2310		0		288		0		1		65												//2.1.1.1
2598		0		288		0		1		66												//2.1.1.2
2310		288		288		0		3		60	61	62										//2.1.1.3
2598		288		288		0		3		63	64	67										//2.1.1.4
2887		0		517		4		0														//2.1.2
2887		0		288		0		0														//2.1.2.1
3175		0		288		0		0														//2.1.2.2
2887		288		288		0		4		70	72	68	69									//2.1.2.3
3175		288		288		0		3		71	73	74										//2.1.2.4
2310		577		577		0		0														//2.1.3
2887		577		577		0		0														//2.1.4
3465		0		1155		4		0														//2.2
3465		0		577		4		0														//2.2.1
3465		0		288		0		2		76	77											//2.2.1.1
3753		0		288		0		1		79												//2.2.1.2
3465		288		288		0		2		75	78											//2.2.1.3
3753		288		288		0		2		80	81											//2.2.1.4		
4042		0		577		0		0														//2.2.2
4042		0		288		0		0														//2.2.2.1
4330		0		288		0		3		82	83	85										//2.2.2.2
4042		288		288		0		0														//2.2.2.3
4330		288		288		0		1		84												//2.2.2.4
3465		577		577		0		0														//2.2.3
4042		517		517		0		0														//2.2.4
2310		1155		1155		0		0														//2.3
3465		1155		1155		0		0														//2.4
0		2310		2310		0		0														//3
2310		2310		2310		0		0														//4	
